country,iso3,rank,rank_pred,residual,population_latest,diaspora_2024,diaspora_per_capita
Eritrea,ERI,184,106.84416582450199,77.15583417549801,3535603,912792,0.2581715198227855
Ethiopia,ETH,144,63.58481200100961,80.41518799899039,132059767,1240645,0.00939457208038236
South Sudan,SSD,170,87.55585958087008,82.44414041912992,11943408,3168836,0.2653209201259808
Laos,LAO,185,99.0592043578983,85.9407956421017,7769819,660258,0.08497726909725954
Cambodia,KHM,177,88.86553785203861,88.13446214796139,17638801,778793,0.04415226409096627
Myanmar,MMR,158,68.6637384240943,89.3362615759057,54500091,4320462,0.07927439974366281
Chad,TCD,183,91.30857008094056,91.69142991905944,20299123,292298,0.01439953834458759
Nepal,NPL,176,77.77393125455173,98.22606874544827,29651054,2637195,0.088941020443995
Afghanistan,AFG,169,69.19977207539262,99.80022792460738,42647492,7528994,0.17654013511509656
Sri Lanka,LKA,191,83.6459490770184,107.3540509229816,21916000,1492103,0.06808281620733711
India,IND,136,24.555173314186398,111.44482668581361,1450935791,18533845,0.01277371825477286
Somalia,SOM,198,84.21478333773646,113.78521666226354,19009151,1935594,0.10182432660985229
Bangladesh,BGD,181,52.319062016607845,128.68093798339214,173562364,8706947,0.05016610052626386
Pakistan,PAK,202,48.98591095161343,153.01408904838658,251269164,6915057,0.0275205158082987
